supplier_id,company_name,region,industry,annual_revenue,annual_spend,avg_payment_delay_days,contract_value,contract_duration_months,past_disputes,delivery_score,financial_stability_index,relationship_years,contract_criticality,credit_score,created_ts,txn_count,avg_txn_amount,avg_delay,late_ratio,dispute_rate,avg_delivery_quality,contract_text,clause_risk_score,risk_score,risk_label
S_00011,Blair PLC,LATAM,Biotech,1332125,575163,48,1259668,35,8,66,0.7,8,Low,745,2025-11-01 22:08:45.572859+00:00,1.0,10710.0,79.0,1.0,0.0,66.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,35.59,0.857,high
S_00012,Dudley Group,North America,Biotech,146309,113453,82,723399,13,4,77,0.74,2,Medium,759,2025-11-01 22:08:45.573062+00:00,0.0,0.0,82.0,0.0,0.0,77.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,47.27,0.286,low
S_00013,Arnold Ltd,Europe,Biotech,2259467,1934813,80,635884,59,10,82,0.98,9,High,843,2025-11-01 22:08:45.573273+00:00,1.0,35497.0,75.0,1.0,0.0,75.0,Penalty clause included for delayed delivery. Payment terms: net 30 days.,15.36,0.714,high
S_00014,"Mcclure, Ward and Lee",North America,Biotech,3186616,1791126,2,244603,29,12,69,0.81,3,High,783,2025-11-01 22:08:45.573789+00:00,0.0,0.0,2.0,0.0,0.0,69.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,54.06,0.429,medium
S_00015,Williams and Sons,North America,Facilities,4809334,3885997,68,1616071,14,2,92,0.96,7,Low,836,2025-11-01 22:08:45.573997+00:00,0.0,0.0,68.0,0.0,0.0,92.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,46.81,0.286,low
S_00016,Galloway-Wyatt,LATAM,Logistics,1435185,1240655,88,431844,51,4,75,0.41,10,Medium,643,2025-11-01 22:08:45.574446+00:00,0.0,0.0,88.0,0.0,0.0,75.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,45.58,0.571,medium
S_00017,James Group,LATAM,Manufacturing,3725049,1951749,8,719016,7,9,85,0.92,3,Medium,822,2025-11-01 22:08:45.574841+00:00,0.0,0.0,8.0,0.0,0.0,85.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,51.22,0.286,low
S_00018,"Flowers, Martin and Kelly",North America,Logistics,110321,47846,4,1812786,27,1,82,0.26,3,High,591,2025-11-01 22:08:45.575616+00:00,0.0,0.0,4.0,0.0,0.0,82.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,42.21,0.286,low
S_00019,"Adams, Zuniga and Wong",Europe,Biotech,4121951,2836338,31,1655466,36,12,76,0.37,3,High,629,2025-11-01 22:08:45.576265+00:00,0.0,0.0,31.0,0.0,0.0,76.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,43.63,0.571,medium
S_00020,"Reid, Ferguson and Sanchez",LATAM,Facilities,3665919,3049745,6,1422147,47,10,56,0.48,0,Medium,668,2025-11-01 22:08:45.576830+00:00,0.0,0.0,6.0,0.0,0.0,56.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,58.25,0.714,high
S_00021,Gray-Mayo,North America,Logistics,2896276,1435959,68,950810,14,6,61,0.84,4,Medium,794,2025-11-01 22:08:45.577219+00:00,0.0,0.0,68.0,0.0,0.0,61.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.26,0.857,high
S_00022,"Watts, Robinson and Nguyen",North America,Manufacturing,682374,495452,69,1763276,6,1,98,0.55,3,High,692,2025-11-01 22:08:45.578060+00:00,1.0,24746.0,78.0,1.0,0.0,65.0,No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,58.59,0.571,medium
S_00023,Perez Inc,LATAM,Manufacturing,4123853,1989010,0,828773,22,12,100,0.59,7,High,706,2025-11-01 22:08:45.578475+00:00,0.0,0.0,0.0,0.0,0.0,100.0,No clear penalty clause; termination ambiguous.,55.05,0.286,low
S_00024,Morales-Jones,LATAM,Logistics,4712122,2332259,27,132648,43,11,84,0.73,0,Medium,755,2025-11-01 22:08:45.579145+00:00,0.0,0.0,27.0,0.0,0.0,84.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,39.16,0.286,low
S_00025,"Walter, Edwards and Rios",LATAM,Biotech,529537,455239,67,340160,9,8,55,0.24,2,High,584,2025-11-01 22:08:45.580073+00:00,1.0,45106.0,82.0,1.0,1.0,73.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,52.86,1.0,high
S_00026,Wilkerson-Day,Europe,Facilities,620097,285209,72,526351,43,9,52,0.74,9,High,759,2025-11-01 22:08:45.580778+00:00,2.0,9978.0,48.0,1.0,0.5,76.5,Long-term partnership clause with annual reviews.,29.74,0.857,high
S_00027,Baker and Sons,Asia-Pacific,IT Services,4946198,2483632,40,510560,22,6,58,0.65,10,Medium,727,2025-11-01 22:08:45.581307+00:00,0.0,0.0,40.0,0.0,0.0,58.0,Penalty clause included for delayed delivery.,15.4,0.429,medium
S_00028,"Hoffman, Baker and Richards",North America,Manufacturing,3885477,2444519,72,219675,10,8,63,0.45,8,High,657,2025-11-01 22:08:45.582329+00:00,0.0,0.0,72.0,0.0,0.0,63.0,No clear penalty clause; termination ambiguous.,59.9,1.0,high
S_00029,"Ross, Robinson and Bright",Europe,IT Services,2977698,1615382,56,1758489,40,11,69,0.9,9,Low,815,2025-11-01 22:08:45.583573+00:00,1.0,14237.0,4.0,0.0,0.0,69.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,36.77,0.714,high
S_00030,"Snyder, Campos and Callahan",Asia-Pacific,Manufacturing,4487076,3901355,17,564625,13,1,97,0.21,8,High,573,2025-11-01 22:08:45.584580+00:00,1.0,12908.0,45.0,1.0,0.0,91.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,34.17,0.429,medium
S_00031,Burton Ltd,Asia-Pacific,Logistics,2413542,1795068,33,1069919,37,4,53,0.68,1,Medium,738,2025-11-01 22:08:45.585013+00:00,0.0,0.0,33.0,0.0,0.0,53.0,Penalty clause included for delayed delivery. Payment terms: net 30 days.,16.04,0.143,low
S_00032,Carlson-Cruz,Asia-Pacific,Logistics,2370961,1703669,33,348861,53,7,85,0.24,6,Medium,584,2025-11-01 22:08:45.585700+00:00,1.0,19385.0,12.0,1.0,0.0,74.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,48.59,0.714,high
S_00033,"Ferrell, Rice and Maddox",Europe,Biotech,988466,413192,47,1231611,41,2,77,0.26,2,High,591,2025-11-01 22:08:45.586684+00:00,0.0,0.0,47.0,0.0,0.0,77.0,Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,47.34,0.571,medium
S_00034,Frazier Inc,North America,IT Services,3108918,1570122,31,1408660,12,5,99,0.92,8,Low,822,2025-11-01 22:08:45.587075+00:00,0.0,0.0,31.0,0.0,0.0,99.0,Penalty clause included for delayed delivery.,22.23,0.0,low
S_00035,"Dyer, Potter and Mack",Europe,Logistics,3458940,2878885,22,1858463,32,0,61,0.98,5,Medium,843,2025-11-01 22:08:45.588011+00:00,1.0,24891.0,58.0,1.0,0.0,97.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,56.58,0.143,low
S_00036,Rodriguez-Graham,Europe,IT Services,3503700,1680370,89,236692,30,0,80,0.84,3,High,794,2025-11-01 22:08:45.588706+00:00,0.0,0.0,89.0,0.0,0.0,80.0,Penalty clause included for delayed delivery. Payment terms: net 30 days.,21.6,0.286,low
S_00037,Smith-Bowen,Europe,Logistics,3911303,1610800,24,845643,27,4,54,0.48,4,Medium,668,2025-11-01 22:08:45.589496+00:00,0.0,0.0,24.0,0.0,0.0,54.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,44.48,0.429,medium
S_00038,"Baker, Mason and White",Asia-Pacific,Manufacturing,4323204,1978604,33,384483,43,4,52,0.52,1,Medium,682,2025-11-01 22:08:45.590649+00:00,1.0,19938.0,10.0,1.0,0.0,58.0,Supplier notified raw material shortages causing delays.,47.6,0.286,low
S_00039,Harrell LLC,Asia-Pacific,Facilities,2949833,2074040,65,252526,30,9,62,0.78,4,High,773,2025-11-01 22:08:45.591257+00:00,0.0,0.0,65.0,0.0,0.0,62.0,Standard contract with net 30 payment terms.,25.55,0.714,high
S_00040,"Romero, Gonzalez and Brooks",Europe,IT Services,3707915,2282773,85,1940996,27,9,70,0.2,10,Low,570,2025-11-01 22:08:45.592661+00:00,0.0,0.0,85.0,0.0,0.0,70.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,32.41,0.857,high
S_00041,Ryan PLC,LATAM,IT Services,2569285,1544654,37,1172687,14,3,76,0.61,10,Low,713,2025-11-01 22:08:45.593018+00:00,0.0,0.0,37.0,0.0,0.0,76.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,30.17,0.0,low
S_00042,George Group,Asia-Pacific,Facilities,1509847,1017589,0,647271,24,3,77,0.69,9,Medium,741,2025-11-01 22:08:45.593434+00:00,1.0,38363.0,49.0,1.0,0.0,92.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,43.12,0.143,low
S_00043,Rodriguez LLC,LATAM,Logistics,2753222,1804976,21,1391710,11,4,82,0.57,10,Medium,699,2025-11-01 22:08:45.594166+00:00,1.0,29387.0,2.0,0.0,0.0,73.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.86,0.143,low
S_00044,Allen-Allen,Europe,IT Services,2861762,1466138,25,319023,7,0,65,0.27,7,Medium,594,2025-11-01 22:08:45.594902+00:00,0.0,0.0,25.0,0.0,0.0,65.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,40.75,0.429,medium
S_00045,"Arroyo, Miller and Tucker",Europe,Facilities,660927,427744,31,319479,47,11,50,0.56,1,Medium,696,2025-11-01 22:08:45.595909+00:00,0.0,0.0,31.0,0.0,0.0,50.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.54,0.571,medium
S_00046,Spence PLC,LATAM,Manufacturing,1885772,1279878,15,967269,14,12,79,0.34,10,Medium,619,2025-11-01 22:08:45.596349+00:00,1.0,30557.0,71.0,1.0,0.0,65.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,37.66,0.857,high
S_00047,Anderson Group,LATAM,Biotech,4738605,3826438,64,904940,59,8,78,0.68,2,Medium,738,2025-11-01 22:08:45.596735+00:00,0.0,0.0,64.0,0.0,0.0,78.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,41.16,0.571,medium
S_00048,"Martin, Rose and Obrien",Europe,IT Services,4031857,3156568,66,1026273,46,3,67,0.56,7,High,696,2025-11-01 22:08:45.597736+00:00,0.0,0.0,66.0,0.0,0.0,67.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.28,0.571,medium
S_00049,Hickman Ltd,Asia-Pacific,IT Services,2446861,2071300,10,300191,15,3,74,0.39,2,Medium,636,2025-11-01 22:08:45.598280+00:00,0.0,0.0,10.0,0.0,0.0,74.0,No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,57.43,0.286,low
S_00050,"Harris, Collins and Carney",Asia-Pacific,Biotech,588790,372681,7,443763,59,6,74,0.53,9,Low,685,2025-11-01 22:08:45.599184+00:00,2.0,31444.5,9.5,0.5,0.0,75.5,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,47.64,0.429,medium
S_00051,"Brooks, Lam and Hayes",LATAM,Facilities,213845,86168,45,636236,54,6,76,0.89,8,Medium,811,2025-11-01 22:08:45.600087+00:00,0.0,0.0,45.0,0.0,0.0,76.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.83,0.429,medium
S_00052,Walker LLC,Europe,Facilities,4631289,2360618,55,1028465,7,6,71,0.84,10,Medium,794,2025-11-01 22:08:45.600458+00:00,1.0,34265.0,23.0,1.0,0.0,79.0,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,23.04,0.714,high
S_00053,Chapman and Sons,LATAM,Logistics,3441654,3064314,68,66552,31,9,86,0.78,10,High,773,2025-11-01 22:08:45.600931+00:00,0.0,0.0,68.0,0.0,0.0,86.0,Penalty clause included for delayed delivery. Payment terms: net 30 days.,15.76,0.571,medium
S_00054,"Robinson, Jones and Welch",LATAM,Logistics,3645464,1549841,48,696508,19,7,70,0.31,5,Medium,608,2025-11-01 22:08:45.601807+00:00,0.0,0.0,48.0,0.0,0.0,70.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,54.79,0.857,high
S_00055,Jones Inc,LATAM,IT Services,3230341,2640659,60,50649,53,8,53,0.42,5,High,647,2025-11-01 22:08:45.602154+00:00,3.0,33457.333333333336,38.0,1.0,0.0,82.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,71.38,1.0,high
S_00056,Jones-Young,North America,Manufacturing,625612,547289,25,1769990,7,9,59,0.82,3,High,787,2025-11-01 22:08:45.602870+00:00,2.0,3340.0,21.0,1.0,0.0,91.5,Penalty clause included for delayed delivery.,20.18,0.429,medium
S_00057,"Washington, Ryan and Cummings",Europe,Facilities,1009568,756905,47,361879,44,9,97,0.65,1,Medium,727,2025-11-01 22:08:45.603817+00:00,0.0,0.0,47.0,0.0,0.0,97.0,Long-term partnership clause with annual reviews.,32.02,0.571,medium
S_00058,"Johnston, Sanchez and Kennedy",North America,Biotech,1423767,587786,39,1217533,49,6,75,0.97,3,High,839,2025-11-01 22:08:45.604803+00:00,1.0,11084.0,86.0,1.0,0.0,81.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,53.27,0.429,medium
S_00059,Lee-Davis,Asia-Pacific,Biotech,2087168,1675503,72,1651305,8,5,84,0.28,6,Medium,598,2025-11-01 22:08:45.605463+00:00,0.0,0.0,72.0,0.0,0.0,84.0,Standard contract with net 30 payment terms.,27.47,0.571,medium
S_00060,Gomez-Jenkins,Asia-Pacific,Manufacturing,628451,518338,62,231331,33,5,90,0.6,7,Medium,710,2025-11-01 22:08:45.606088+00:00,1.0,1984.0,8.0,0.0,0.0,70.0,No clear penalty clause; termination ambiguous.,51.82,0.286,low
S_00061,"Brown, Valdez and Lucas",Asia-Pacific,Biotech,3703130,2977685,68,1634540,36,7,77,0.34,9,High,619,2025-11-01 22:08:45.606958+00:00,0.0,0.0,68.0,0.0,0.0,77.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,47.48,0.857,high
S_00062,Powell LLC,North America,IT Services,2109362,1773584,31,1583862,35,9,89,0.86,10,Medium,801,2025-11-01 22:08:45.607292+00:00,2.0,22376.0,35.5,0.5,0.0,83.5,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,34.93,0.429,medium
S_00063,Wright and Sons,Asia-Pacific,Logistics,290753,187179,45,1683175,22,5,67,0.6,9,Medium,710,2025-11-01 22:08:45.607629+00:00,0.0,0.0,45.0,0.0,0.0,67.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,20.49,0.143,low
S_00064,"West, Henderson and Ramirez",Europe,Manufacturing,2367508,1232709,52,1034622,41,12,65,0.64,7,Medium,724,2025-11-01 22:08:45.608702+00:00,0.0,0.0,52.0,0.0,0.0,65.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,39.85,0.714,high
S_00065,Baxter Inc,North America,Manufacturing,4167307,2280007,51,1460782,21,4,92,0.56,9,Medium,696,2025-11-01 22:08:45.608949+00:00,0.0,0.0,51.0,0.0,0.0,92.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,63.7,0.429,medium
S_00066,Morton-Chase,LATAM,Biotech,4692867,2653326,89,961572,23,4,66,0.62,3,High,717,2025-11-01 22:08:45.609372+00:00,0.0,0.0,89.0,0.0,0.0,66.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,57.74,0.429,medium
S_00067,Williams PLC,Europe,Logistics,1665514,846401,61,589861,52,9,98,0.45,8,Medium,657,2025-11-01 22:08:45.609609+00:00,1.0,43701.0,0.0,0.0,0.0,89.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,74.87,1.0,high
S_00068,Novak and Sons,Asia-Pacific,Logistics,893274,518492,38,39671,51,8,58,0.87,4,High,804,2025-11-01 22:08:45.609986+00:00,0.0,0.0,38.0,0.0,0.0,58.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,55.93,0.429,medium
S_00069,Russell Group,Europe,Facilities,507397,228985,1,1213899,24,7,80,0.64,7,Medium,724,2025-11-01 22:08:45.610230+00:00,0.0,0.0,1.0,0.0,0.0,80.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,49.66,0.286,low
S_00070,Hancock Inc,LATAM,Manufacturing,480979,390101,51,1041267,10,9,90,0.4,10,High,640,2025-11-01 22:08:45.610442+00:00,0.0,0.0,51.0,0.0,0.0,90.0,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,24.68,0.857,high
S_00071,Gray Group,Asia-Pacific,Manufacturing,1301560,1167446,15,1180363,54,6,88,0.85,9,Medium,797,2025-11-01 22:08:45.610646+00:00,0.0,0.0,15.0,0.0,0.0,88.0,Supplier notified raw material shortages causing delays.,40.89,0.286,low
S_00072,House-Glover,LATAM,Facilities,1943200,1659982,38,1813900,43,6,69,0.82,9,Medium,787,2025-11-01 22:08:45.610992+00:00,0.0,0.0,38.0,0.0,0.0,69.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,65.14,0.571,medium
S_00073,Henderson-Bernard,Europe,Logistics,882431,469738,10,339372,21,2,85,0.96,1,High,836,2025-11-01 22:08:45.611358+00:00,0.0,0.0,10.0,0.0,0.0,85.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,30.43,0.0,low
S_00074,"Stanley, Tucker and Lee",LATAM,IT Services,3476893,1447499,36,1492593,24,11,79,0.56,1,Medium,696,2025-11-01 22:08:45.611858+00:00,1.0,21380.0,57.0,1.0,0.0,88.0,No clear penalty clause; termination ambiguous.,52.29,0.429,medium
S_00075,Novak PLC,Europe,Facilities,2269245,1037925,28,1368188,15,4,59,0.83,1,High,790,2025-11-01 22:08:45.612079+00:00,0.0,0.0,28.0,0.0,0.0,59.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,66.03,0.286,low
S_00076,"Daniels, Adkins and Brown",Asia-Pacific,Facilities,2630434,1215725,88,647725,50,6,67,0.68,8,Medium,738,2025-11-01 22:08:45.612594+00:00,0.0,0.0,88.0,0.0,0.0,67.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,59.38,0.714,high
S_00077,"Woods, Calhoun and Schmidt",North America,Facilities,3722187,2855911,77,535059,7,1,64,0.26,10,Low,591,2025-11-01 22:08:45.613102+00:00,1.0,4019.0,17.0,1.0,0.0,50.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays.,38.78,0.857,high
S_00078,Yu Inc,North America,IT Services,4875119,3354683,22,996711,39,10,78,0.67,4,High,734,2025-11-01 22:08:45.613328+00:00,0.0,0.0,22.0,0.0,0.0,78.0,Long-term partnership clause with annual reviews.,34.02,0.286,low
S_00079,Jones Inc,LATAM,Manufacturing,4960100,3149689,52,708998,26,10,56,0.55,2,Medium,692,2025-11-01 22:08:45.613540+00:00,0.0,0.0,52.0,0.0,0.0,56.0,Payment terms: net 30 days. Long-term partnership clause with annual reviews.,28.27,0.714,high
S_00080,"Hensley, Powell and David",LATAM,Biotech,4206295,1759697,11,669590,22,5,57,0.43,6,Low,650,2025-11-01 22:08:45.614052+00:00,0.0,0.0,11.0,0.0,0.0,57.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.4,0.571,medium
S_00081,"Sanchez, Wheeler and Harvey",LATAM,Facilities,59655,25478,66,768706,45,12,81,0.73,10,Medium,755,2025-11-01 22:08:45.614823+00:00,0.0,0.0,66.0,0.0,0.0,81.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,44.71,0.571,medium
S_00082,Sandoval-Cunningham,Europe,IT Services,482950,298974,89,1026514,13,0,90,0.36,9,Medium,626,2025-11-01 22:08:45.615427+00:00,0.0,0.0,89.0,0.0,0.0,90.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,18.19,0.571,medium
S_00083,Donovan-Harris,North America,Biotech,1378572,832651,28,1774555,13,7,57,0.45,10,Low,657,2025-11-01 22:08:45.615870+00:00,0.0,0.0,28.0,0.0,0.0,57.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,19.12,0.714,high
S_00084,"Edwards, Baker and Anderson",Asia-Pacific,Biotech,4230676,3184454,53,1760542,36,7,65,0.95,7,Medium,832,2025-11-01 22:08:45.616475+00:00,0.0,0.0,53.0,0.0,0.0,65.0,Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,45.35,0.714,high
S_00085,"Evans, Stewart and Walton",Europe,Manufacturing,3267752,1758454,53,722770,56,8,67,0.35,0,High,622,2025-11-01 22:08:45.617166+00:00,1.0,11389.0,20.0,1.0,0.0,95.0,Long-term partnership clause with annual reviews.,34.35,1.0,high
S_00086,Smith PLC,LATAM,Logistics,2554467,1592132,61,733777,27,8,98,0.87,8,Medium,804,2025-11-01 22:08:45.617434+00:00,1.0,29193.0,11.0,1.0,0.0,79.0,Standard contract with net 30 payment terms.,30.23,0.714,high
S_00087,"Ferrell, Jones and Lewis",Europe,Biotech,2749264,1626149,52,101535,26,11,80,0.9,6,Medium,815,2025-11-01 22:08:45.617946+00:00,0.0,0.0,52.0,0.0,0.0,80.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.74,0.714,high
S_00088,Anderson-Bailey,North America,Logistics,1325951,863387,75,706243,12,7,56,0.6,8,Low,710,2025-11-01 22:08:45.618395+00:00,0.0,0.0,75.0,0.0,0.0,56.0,Supplier notified raw material shortages causing delays.,42.54,0.714,high
S_00089,Suarez LLC,LATAM,Logistics,178744,78185,33,720014,45,11,75,0.78,10,High,773,2025-11-01 22:08:45.618690+00:00,1.0,32648.0,49.0,1.0,0.0,70.0,Standard contract with net 30 payment terms.,34.05,0.429,medium
S_00090,Moore-Bass,LATAM,IT Services,2806207,2001946,62,1839519,40,0,89,0.88,1,High,808,2025-11-01 22:08:45.619052+00:00,0.0,0.0,62.0,0.0,0.0,89.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,36.56,0.286,low
S_00091,"Turner, Riggs and Roman",North America,Facilities,2460709,2187985,81,1486166,12,7,60,1.0,4,Low,850,2025-11-01 22:08:45.619623+00:00,1.0,40153.0,2.0,0.0,0.0,61.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,66.94,0.857,high
