supplier_id,company_name,region,industry,annual_revenue,annual_spend,avg_payment_delay_days,contract_value,contract_duration_months,past_disputes,delivery_score,financial_stability_index,relationship_years,contract_criticality,credit_score,created_ts,txn_count,avg_txn_amount,avg_delay,late_ratio,dispute_rate,avg_delivery_quality,contract_text,clause_risk_score,risk_score,risk_label,snapshot_week
S_00011,Blair PLC,LATAM,Biotech,1332125,575163,48,1259668,35,8,66,0.7,8,Low,745,2025-11-02 09:16:01.581322+00:00,1.0,10710.0,79.61733234117122,0.9949298583125663,0.03593954402818081,66.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,35.59,0.857,high,44
S_00012,Dudley Group,North America,Biotech,146309,113453,82,723399,13,4,77,0.74,2,Medium,759,2025-11-02 09:16:01.581322+00:00,0.0,0.0,84.86833996499475,0.0,0.0,77.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,47.27,0.286,low,44
S_00013,Arnold Ltd,Europe,Biotech,2259467,1934813,80,635884,59,10,82,0.98,9,High,843,2025-11-02 09:16:01.581322+00:00,1.0,35497.0,74.98388846745019,1.0,0.0,75.0,Penalty clause included for delayed delivery. Payment terms: net 30 days.,15.36,0.714,high,44
S_00014,"Mcclure, Ward and Lee",North America,Biotech,3186616,1791126,2,244603,29,12,69,0.81,3,High,783,2025-11-02 09:16:01.581322+00:00,0.0,0.0,0.46934319815836467,0.053942701331540915,0.0,69.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,54.06,0.429,medium,44
S_00015,Williams and Sons,North America,Facilities,4809334,3885997,68,1616071,14,2,92,0.96,7,Low,836,2025-11-02 09:16:01.581322+00:00,0.0,0.0,65.49802947877801,0.0,0.0,92.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,46.81,0.286,low,44
S_00016,Galloway-Wyatt,LATAM,Logistics,1435185,1240655,88,431844,51,4,75,0.41,10,Medium,643,2025-11-02 09:16:01.581322+00:00,0.0,0.0,90.34148868384078,0.05563180890226121,0.052701758143721945,75.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,45.58,0.571,medium,44
S_00017,James Group,LATAM,Manufacturing,3725049,1951749,8,719016,7,9,85,0.92,3,Medium,822,2025-11-02 09:16:01.581322+00:00,0.0,0.0,4.790839888543688,0.0,0.0,85.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,51.22,0.286,low,44
S_00018,"Flowers, Martin and Kelly",North America,Logistics,110321,47846,4,1812786,27,1,82,0.26,3,High,591,2025-11-02 09:16:01.581322+00:00,0.0,0.0,1.9383289417726948,0.00040419161439643795,0.0,82.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,42.21,0.286,low,44
S_00019,"Adams, Zuniga and Wong",Europe,Biotech,4121951,2836338,31,1655466,36,12,76,0.37,3,High,629,2025-11-02 09:16:01.581322+00:00,0.0,0.0,31.42185754695654,0.010535235833434771,0.047907624229623566,76.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,43.63,0.571,medium,44
S_00020,"Reid, Ferguson and Sanchez",LATAM,Facilities,3665919,3049745,6,1422147,47,10,56,0.48,0,Medium,668,2025-11-02 09:16:01.581322+00:00,0.0,0.0,4.184775730118976,0.050664279806557036,0.037409633037141655,56.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,58.25,0.714,high,44
S_00021,Gray-Mayo,North America,Logistics,2896276,1435959,68,950810,14,6,61,0.84,4,Medium,794,2025-11-02 09:16:01.581322+00:00,0.0,0.0,65.6734392818163,0.03502725879412793,0.0,61.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.26,0.857,high,44
S_00022,"Watts, Robinson and Nguyen",North America,Manufacturing,682374,495452,69,1763276,6,1,98,0.55,3,High,692,2025-11-02 09:16:01.581322+00:00,1.0,24746.0,78.25660849868991,1.0,0.0,65.0,No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,58.59,0.571,medium,44
S_00023,Perez Inc,LATAM,Manufacturing,4123853,1989010,0,828773,22,12,100,0.59,7,High,706,2025-11-02 09:16:01.581322+00:00,0.0,0.0,0.0,0.02713229783264889,0.003398956639240416,100.0,No clear penalty clause; termination ambiguous.,55.05,0.286,low,44
S_00024,Morales-Jones,LATAM,Logistics,4712122,2332259,27,132648,43,11,84,0.73,0,Medium,755,2025-11-02 09:16:01.581322+00:00,0.0,0.0,23.908298294901595,0.0,0.039510257149012976,84.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,39.16,0.286,low,44
S_00025,"Walter, Edwards and Rios",LATAM,Biotech,529537,455239,67,340160,9,8,55,0.24,2,High,584,2025-11-02 09:16:01.581322+00:00,1.0,45106.0,84.71484534662433,1.0,1.0,73.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,52.86,1.0,high,44
S_00026,Wilkerson-Day,Europe,Facilities,620097,285209,72,526351,43,9,52,0.74,9,High,759,2025-11-02 09:16:01.581322+00:00,2.0,9978.0,48.63476972619669,1.0,0.5596649562001274,76.5,Long-term partnership clause with annual reviews.,29.74,0.857,high,44
S_00027,Baker and Sons,Asia-Pacific,IT Services,4946198,2483632,40,510560,22,6,58,0.65,10,Medium,727,2025-11-02 09:16:01.581322+00:00,0.0,0.0,40.033679784201944,0.0,0.025076447961817155,58.0,Penalty clause included for delayed delivery.,15.4,0.429,medium,44
S_00028,"Hoffman, Baker and Richards",North America,Manufacturing,3885477,2444519,72,219675,10,8,63,0.45,8,High,657,2025-11-02 09:16:01.581322+00:00,0.0,0.0,72.17711317099007,0.02143421145326954,0.046473808744165526,63.0,No clear penalty clause; termination ambiguous.,59.9,1.0,high,44
S_00029,"Ross, Robinson and Bright",Europe,IT Services,2977698,1615382,56,1758489,40,11,69,0.9,9,Low,815,2025-11-02 09:16:01.581322+00:00,1.0,14237.0,6.3828151048412,0.0,0.005148314191824058,69.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,36.77,0.714,high,44
S_00030,"Snyder, Campos and Callahan",Asia-Pacific,Manufacturing,4487076,3901355,17,564625,13,1,97,0.21,8,High,573,2025-11-02 09:16:01.581322+00:00,1.0,12908.0,44.950644636578055,0.9005567933518827,0.0,91.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,34.17,0.429,medium,44
S_00031,Burton Ltd,Asia-Pacific,Logistics,2413542,1795068,33,1069919,37,4,53,0.68,1,Medium,738,2025-11-02 09:16:01.581322+00:00,0.0,0.0,32.641676891035566,0.018583425404481945,0.0272970672971392,53.0,Penalty clause included for delayed delivery. Payment terms: net 30 days.,16.04,0.143,low,44
S_00032,Carlson-Cruz,Asia-Pacific,Logistics,2370961,1703669,33,348861,53,7,85,0.24,6,Medium,584,2025-11-02 09:16:01.581322+00:00,1.0,19385.0,11.064020640029396,0.9083473211242651,0.013332496499781611,74.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,48.59,0.714,high,44
S_00033,"Ferrell, Rice and Maddox",Europe,Biotech,988466,413192,47,1231611,41,2,77,0.26,2,High,591,2025-11-02 09:16:01.581322+00:00,0.0,0.0,46.07762091693916,0.0,0.0,77.0,Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,47.34,0.571,medium,44
S_00034,Frazier Inc,North America,IT Services,3108918,1570122,31,1408660,12,5,99,0.92,8,Low,822,2025-11-02 09:16:01.581322+00:00,0.0,0.0,28.080791838055557,0.0,0.04620922392121411,99.0,Penalty clause included for delayed delivery.,22.23,0.0,low,44
S_00035,"Dyer, Potter and Mack",Europe,Logistics,3458940,2878885,22,1858463,32,0,61,0.98,5,Medium,843,2025-11-02 09:16:01.581322+00:00,1.0,24891.0,55.2268827175354,0.9495528084999151,0.0002670045668350109,97.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,56.58,0.143,low,44
S_00036,Rodriguez-Graham,Europe,IT Services,3503700,1680370,89,236692,30,0,80,0.84,3,High,794,2025-11-02 09:16:01.581322+00:00,0.0,0.0,90.3002964078152,0.06575851427528188,0.01742516724052474,80.0,Penalty clause included for delayed delivery. Payment terms: net 30 days.,21.6,0.286,low,44
S_00037,Smith-Bowen,Europe,Logistics,3911303,1610800,24,845643,27,4,54,0.48,4,Medium,668,2025-11-02 09:16:01.581322+00:00,0.0,0.0,23.336019296363755,0.11405861088821966,0.06981680357782485,54.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,44.48,0.429,medium,44
S_00038,"Baker, Mason and White",Asia-Pacific,Manufacturing,4323204,1978604,33,384483,43,4,52,0.52,1,Medium,682,2025-11-02 09:16:01.581322+00:00,1.0,19938.0,9.632698795487714,0.9541844770093446,0.004922312037540276,58.0,Supplier notified raw material shortages causing delays.,47.6,0.286,low,44
S_00039,Harrell LLC,Asia-Pacific,Facilities,2949833,2074040,65,252526,30,9,62,0.78,4,High,773,2025-11-02 09:16:01.581322+00:00,0.0,0.0,68.0558897159875,0.0,0.03847295196999468,62.0,Standard contract with net 30 payment terms.,25.55,0.714,high,44
S_00040,"Romero, Gonzalez and Brooks",Europe,IT Services,3707915,2282773,85,1940996,27,9,70,0.2,10,Low,570,2025-11-02 09:16:01.581322+00:00,0.0,0.0,83.76246737886667,0.0,0.0,70.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,32.41,0.857,high,44
S_00041,Ryan PLC,LATAM,IT Services,2569285,1544654,37,1172687,14,3,76,0.61,10,Low,713,2025-11-02 09:16:01.581322+00:00,0.0,0.0,36.48629044741493,0.031145889516645483,0.0,76.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,30.17,0.0,low,44
S_00042,George Group,Asia-Pacific,Facilities,1509847,1017589,0,647271,24,3,77,0.69,9,Medium,741,2025-11-02 09:16:01.581322+00:00,1.0,38363.0,48.77027595038362,0.9247916383356414,0.031248789939056155,92.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,43.12,0.143,low,44
S_00043,Rodriguez LLC,LATAM,Logistics,2753222,1804976,21,1391710,11,4,82,0.57,10,Medium,699,2025-11-02 09:16:01.581322+00:00,1.0,29387.0,0.21643178333151947,0.03363913554926725,0.0,73.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.86,0.143,low,44
S_00044,Allen-Allen,Europe,IT Services,2861762,1466138,25,319023,7,0,65,0.27,7,Medium,594,2025-11-02 09:16:01.581322+00:00,0.0,0.0,23.831320574993555,0.00442444263295039,0.0,65.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,40.75,0.429,medium,44
S_00045,"Arroyo, Miller and Tucker",Europe,Facilities,660927,427744,31,319479,47,11,50,0.56,1,Medium,696,2025-11-02 09:16:01.581322+00:00,0.0,0.0,29.315910563965257,0.04995113331530776,0.0,50.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.54,0.571,medium,44
S_00046,Spence PLC,LATAM,Manufacturing,1885772,1279878,15,967269,14,12,79,0.34,10,Medium,619,2025-11-02 09:16:01.581322+00:00,1.0,30557.0,72.55686606118934,1.0,0.036089190920546896,65.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,37.66,0.857,high,44
S_00047,Anderson Group,LATAM,Biotech,4738605,3826438,64,904940,59,8,78,0.68,2,Medium,738,2025-11-02 09:16:01.581322+00:00,0.0,0.0,61.68174745479859,0.04678672937512272,0.017607023518560798,78.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,41.16,0.571,medium,44
S_00048,"Martin, Rose and Obrien",Europe,IT Services,4031857,3156568,66,1026273,46,3,67,0.56,7,High,696,2025-11-02 09:16:01.581322+00:00,0.0,0.0,67.72659508997737,0.0,0.028870015383919687,67.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.28,0.571,medium,44
S_00049,Hickman Ltd,Asia-Pacific,IT Services,2446861,2071300,10,300191,15,3,74,0.39,2,Medium,636,2025-11-02 09:16:01.581322+00:00,0.0,0.0,13.210876807887807,0.08312875487913739,0.020342267509874456,74.0,No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,57.43,0.286,low,44
S_00050,"Harris, Collins and Carney",Asia-Pacific,Biotech,588790,372681,7,443763,59,6,74,0.53,9,Low,685,2025-11-02 09:16:01.581322+00:00,2.0,31444.5,8.44280305406679,0.5180818346552118,0.0,75.5,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,47.64,0.429,medium,44
S_00051,"Brooks, Lam and Hayes",LATAM,Facilities,213845,86168,45,636236,54,6,76,0.89,8,Medium,811,2025-11-02 09:16:01.581322+00:00,0.0,0.0,45.12155196519975,0.002097694405411946,0.0,76.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.83,0.429,medium,44
S_00052,Walker LLC,Europe,Facilities,4631289,2360618,55,1028465,7,6,71,0.84,10,Medium,794,2025-11-02 09:16:01.581322+00:00,1.0,34265.0,20.344318861503126,1.0,0.0,79.0,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,23.04,0.714,high,44
S_00053,Chapman and Sons,LATAM,Logistics,3441654,3064314,68,66552,31,9,86,0.78,10,High,773,2025-11-02 09:16:01.581322+00:00,0.0,0.0,67.25922326798539,0.12533448931740096,0.0,86.0,Penalty clause included for delayed delivery. Payment terms: net 30 days.,15.76,0.571,medium,44
S_00054,"Robinson, Jones and Welch",LATAM,Logistics,3645464,1549841,48,696508,19,7,70,0.31,5,Medium,608,2025-11-02 09:16:01.581322+00:00,0.0,0.0,50.60741055925479,0.0,0.06859709293102102,70.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,54.79,0.857,high,44
S_00055,Jones Inc,LATAM,IT Services,3230341,2640659,60,50649,53,8,53,0.42,5,High,647,2025-11-02 09:16:01.581322+00:00,3.0,33457.333333333336,37.639265697244426,1.0,0.0,82.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,71.38,1.0,high,44
S_00056,Jones-Young,North America,Manufacturing,625612,547289,25,1769990,7,9,59,0.82,3,High,787,2025-11-02 09:16:01.581322+00:00,2.0,3340.0,20.599431642326365,1.0,0.0,91.5,Penalty clause included for delayed delivery.,20.18,0.429,medium,44
S_00057,"Washington, Ryan and Cummings",Europe,Facilities,1009568,756905,47,361879,44,9,97,0.65,1,Medium,727,2025-11-02 09:16:01.581322+00:00,0.0,0.0,52.13311483799253,0.004411382705540244,0.009653630280959296,97.0,Long-term partnership clause with annual reviews.,32.02,0.571,medium,44
S_00058,"Johnston, Sanchez and Kennedy",North America,Biotech,1423767,587786,39,1217533,49,6,75,0.97,3,High,839,2025-11-02 09:16:01.581322+00:00,1.0,11084.0,86.94239673572075,1.0,0.015019954264937126,81.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,53.27,0.429,medium,44
S_00059,Lee-Davis,Asia-Pacific,Biotech,2087168,1675503,72,1651305,8,5,84,0.28,6,Medium,598,2025-11-02 09:16:01.581322+00:00,0.0,0.0,69.6869093626701,0.0,0.0,84.0,Standard contract with net 30 payment terms.,27.47,0.571,medium,44
S_00060,Gomez-Jenkins,Asia-Pacific,Manufacturing,628451,518338,62,231331,33,5,90,0.6,7,Medium,710,2025-11-02 09:16:01.581322+00:00,1.0,1984.0,6.054859024619473,0.0,0.009385608626935918,70.0,No clear penalty clause; termination ambiguous.,51.82,0.286,low,44
S_00061,"Brown, Valdez and Lucas",Asia-Pacific,Biotech,3703130,2977685,68,1634540,36,7,77,0.34,9,High,619,2025-11-02 09:16:01.581322+00:00,0.0,0.0,67.29807660759596,0.012038468846742784,0.005219355372419204,77.0,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,47.48,0.857,high,44
S_00062,Powell LLC,North America,IT Services,2109362,1773584,31,1583862,35,9,89,0.86,10,Medium,801,2025-11-02 09:16:01.581322+00:00,2.0,22376.0,39.17953480556306,0.5151302654547256,0.0,83.5,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,34.93,0.429,medium,44
S_00063,Wright and Sons,Asia-Pacific,Logistics,290753,187179,45,1683175,22,5,67,0.6,9,Medium,710,2025-11-02 09:16:01.581322+00:00,0.0,0.0,46.223796424651994,0.02484569066942519,0.0,67.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,20.49,0.143,low,44
S_00064,"West, Henderson and Ramirez",Europe,Manufacturing,2367508,1232709,52,1034622,41,12,65,0.64,7,Medium,724,2025-11-02 09:16:01.581322+00:00,0.0,0.0,55.840571352444385,0.0,0.0,65.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,39.85,0.714,high,44
S_00065,Baxter Inc,North America,Manufacturing,4167307,2280007,51,1460782,21,4,92,0.56,9,Medium,696,2025-11-02 09:16:01.581322+00:00,0.0,0.0,51.566331454819604,0.0,0.034353547784261175,92.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,63.7,0.429,medium,44
S_00066,Morton-Chase,LATAM,Biotech,4692867,2653326,89,961572,23,4,66,0.62,3,High,717,2025-11-02 09:16:01.581322+00:00,0.0,0.0,84.75035209616823,0.014398986517898258,0.0,66.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,57.74,0.429,medium,44
S_00067,Williams PLC,Europe,Logistics,1665514,846401,61,589861,52,9,98,0.45,8,Medium,657,2025-11-02 09:16:01.581322+00:00,1.0,43701.0,1.1180534454379945,0.12153170310727562,0.0,89.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,74.87,1.0,high,44
S_00068,Novak and Sons,Asia-Pacific,Logistics,893274,518492,38,39671,51,8,58,0.87,4,High,804,2025-11-02 09:16:01.581322+00:00,0.0,0.0,38.142036906287636,0.0,0.031891649499782404,58.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,55.93,0.429,medium,44
S_00069,Russell Group,Europe,Facilities,507397,228985,1,1213899,24,7,80,0.64,7,Medium,724,2025-11-02 09:16:01.581322+00:00,0.0,0.0,0.9257292033996928,0.0,0.004980016172775058,80.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,49.66,0.286,low,44
S_00070,Hancock Inc,LATAM,Manufacturing,480979,390101,51,1041267,10,9,90,0.4,10,High,640,2025-11-02 09:16:01.581322+00:00,0.0,0.0,52.650561559155776,0.014159216084274371,0.0,90.0,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,24.68,0.857,high,44
S_00071,Gray Group,Asia-Pacific,Manufacturing,1301560,1167446,15,1180363,54,6,88,0.85,9,Medium,797,2025-11-02 09:16:01.581322+00:00,0.0,0.0,12.710818109772024,0.0,0.0,88.0,Supplier notified raw material shortages causing delays.,40.89,0.286,low,44
S_00072,House-Glover,LATAM,Facilities,1943200,1659982,38,1813900,43,6,69,0.82,9,Medium,787,2025-11-02 09:16:01.581322+00:00,0.0,0.0,38.32052299818073,0.025948312311324575,0.029144538306984425,69.0,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,65.14,0.571,medium,44
S_00073,Henderson-Bernard,Europe,Logistics,882431,469738,10,339372,21,2,85,0.96,1,High,836,2025-11-02 09:16:01.581322+00:00,0.0,0.0,9.620020762881486,0.09589752209006189,0.03695590443850039,85.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,30.43,0.0,low,44
S_00074,"Stanley, Tucker and Lee",LATAM,IT Services,3476893,1447499,36,1492593,24,11,79,0.56,1,Medium,696,2025-11-02 09:16:01.581322+00:00,1.0,21380.0,57.6090971538418,0.9006664804880156,0.05622713766848737,88.0,No clear penalty clause; termination ambiguous.,52.29,0.429,medium,44
S_00075,Novak PLC,Europe,Facilities,2269245,1037925,28,1368188,15,4,59,0.83,1,High,790,2025-11-02 09:16:01.581322+00:00,0.0,0.0,30.41627586713841,0.0,0.046202328678249575,59.0,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,66.03,0.286,low,44
S_00076,"Daniels, Adkins and Brown",Asia-Pacific,Facilities,2630434,1215725,88,647725,50,6,67,0.68,8,Medium,738,2025-11-02 09:16:01.581322+00:00,0.0,0.0,86.21683275736504,0.0,0.02714201962503345,67.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,59.38,0.714,high,44
S_00077,"Woods, Calhoun and Schmidt",North America,Facilities,3722187,2855911,77,535059,7,1,64,0.26,10,Low,591,2025-11-02 09:16:01.581322+00:00,1.0,4019.0,17.33183218551675,0.9822371476082556,0.0,50.0,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays.,38.78,0.857,high,44
S_00078,Yu Inc,North America,IT Services,4875119,3354683,22,996711,39,10,78,0.67,4,High,734,2025-11-02 09:16:01.581322+00:00,0.0,0.0,22.055837798757143,0.0,0.0066645787143642474,78.0,Long-term partnership clause with annual reviews.,34.02,0.286,low,44
S_00079,Jones Inc,LATAM,Manufacturing,4960100,3149689,52,708998,26,10,56,0.55,2,Medium,692,2025-11-02 09:16:01.581322+00:00,0.0,0.0,53.653829203997304,0.0,0.0,56.0,Payment terms: net 30 days. Long-term partnership clause with annual reviews.,28.27,0.714,high,44
S_00080,"Hensley, Powell and David",LATAM,Biotech,4206295,1759697,11,669590,22,5,57,0.43,6,Low,650,2025-11-02 09:16:01.581322+00:00,0.0,0.0,8.360094927840809,0.0,0.0,57.0,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.4,0.571,medium,44
S_00081,"Sanchez, Wheeler and Harvey",LATAM,Facilities,59655,25478,66,768706,45,12,81,0.73,10,Medium,755,2025-11-02 09:16:01.581322+00:00,0.0,0.0,67.6029514694623,0.07182090392530292,0.0,81.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,44.71,0.571,medium,44
S_00082,Sandoval-Cunningham,Europe,IT Services,482950,298974,89,1026514,13,0,90,0.36,9,Medium,626,2025-11-02 09:16:01.581322+00:00,0.0,0.0,91.44503958858812,0.0,0.002921952686240072,90.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,18.19,0.571,medium,44
S_00083,Donovan-Harris,North America,Biotech,1378572,832651,28,1774555,13,7,57,0.45,10,Low,657,2025-11-02 09:16:01.581322+00:00,0.0,0.0,25.04342125423983,0.0,0.0,57.0,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,19.12,0.714,high,44
S_00084,"Edwards, Baker and Anderson",Asia-Pacific,Biotech,4230676,3184454,53,1760542,36,7,65,0.95,7,Medium,832,2025-11-02 09:16:01.581322+00:00,0.0,0.0,54.10782774726066,0.08368062655225077,0.053432841787561296,65.0,Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,45.35,0.714,high,44
